id,host_id,host_name,host_since,host_response_rate,host_listings_count,host_total_listings_count,city,state,zipcode,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month
2508065,12836602,Fritz & Jody,05-03-2014,100%,1,1,Seattle,WA,98106,United States,House,Entire home/apt,4,2,2,2,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",129,799,,250,90,4,25,2,10,5,100,moderate,0.26
8089781,42719719,Julia & Bjarni,27-08-2015,100%,1,1,Seattle,WA,98112,United States,Apartment,Shared room,2,1,1,1,Futon,"{Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",30,,,,,1,0,2,1125,17,92,flexible,4.08
7692789,23911251,Rob,18-11-2014,100%,1,1,Seattle,WA,98112,United States,Condominium,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo}",70,450,"1,575.00",150,75,1,0,2,180,7,100,strict,1.48
8136553,42966608,Alessandro,31-08-2015,100%,1,1,Seattle,WA,98112,United States,Apartment,Private room,2,1,1,1,Real Bed,"{Pool,Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer}",80,,,,,1,0,1,1125,1,100,moderate,0.25
1042022,5736221,Lene & Johnny,02-04-2013,100%,1,1,Seattle,WA,98112,United States,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",125,,"2,200.00",200,35,2,20,2,90,105,94,moderate,3.22
8863714,27499395,Meagan,09-02-2015,100%,1,1,Seattle,WA,98112,United States,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",95,665,"2,850.00",100,35,1,0,2,1125,3,80,flexible,1.14
4557204,23624535,Beth And Garrett,11-11-2014,100%,1,1,Seattle,WA,98112,United States,House,Entire home/apt,8,2.5,4,4,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",285,,,,50,1,0,2,1125,6,100,strict,0.48
6644760,34779932,Marc,01-06-2015,100%,4,4,Seattle,WA,98112,United States,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",109,600,"2,200.00",500,100,2,15,3,365,5,100,strict,1
8764748,45960572,Brent,07-10-2015,100%,1,1,Seattle,WA,98112,United States,House,Entire home/apt,4,1,2,3,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer}",275,,,,,1,0,1,1125,0,,flexible,
9342299,48486517,Stanley,08-11-2015,N/A,1,1,Seattle,WA,98112,United States,House,Private room,4,2.5,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",190,,,,20,1,0,5,1125,0,,flexible,
